"","Carrier","Airport_Distance","Number_of_flights","Weather","Support_Crew_Available","Baggage_loading_time","Late_Arrival_o","Cleaning_o","Fueling_o","Security_o","Arr_Delay"
"649","UA",447,43242,6,58,17,19,14,24,41,68
"650","AA",465,45744,5,15,17,20,7,21,59,109
"651","AA",451,46016,6,20,18,19,0,29,47,84
"652","DL",460,45637,6,33,17,20,12,26,28,93
"653","AA",457,46530,5,135,17,19,11,22,43,77
"654","9E",440,44146,6,97,17,19,7,20,42,80
"655","US",449,40409,6,20,17,18,20,27,47,58
"658","UA",423,45241,6,8,17,19,10,27,32,100
"659","EV",423,42361,5,142,17,19,18,26,36,51
"660","UA",423,41368,5,112,17,18,11,22,38,37
"662","9E",456,45353,6,54,18,19,13,27,34,108
"663","UA",416,40949,6,106,17,18,14,22,40,54
"665","UA",416,42844,5,76,17,18,11,22,42,56
"666","EV",439,45108,5,61,17,19,3,23,34,63
"667","B6",452,41446,5,21,17,17,8,25,22,38
"668","MQ",448,38237,5,56,16,17,11,25,45,18
"669","UA",420,43322,6,63,16,18,16,27,37,79
"670","EV",424,41351,6,105,17,18,10,27,29,35
"671","UA",436,45847,6,106,17,20,14,32,47,73
"673","DL",410,45517,5,52,17,19,8,30,44,85
"674","DL",447,43750,6,101,17,18,8,21,32,59
"678","FL",451,43322,5,42,17,20,9,25,30,59
"679","EV",442,47693,5,64,18,19,14,29,35,130
"680","9E",454,41576,5,91,17,19,11,25,42,50
"681","VX",434,45629,5,95,17,19,7,25,40,55
"682","US",441,41209,5,43,17,18,8,29,39,60
"683","MQ",465,42853,5,99,17,18,19,24,38,78
"684","DL",440,45223,5,114,17,19,7,20,38,81
"686","AA",446,45612,5,126,17,18,8,24,28,65
"687","B6",428,40891,5,71,17,18,10,28,41,72
"688","DL",460,44495,6,18,17,19,16,27,36,122
"689","WN",402,36633,5,154,16,18,8,27,32,11
"690","EV",468,41350,5,121,17,19,10,24,39,70
"691","DL",432,44892,5,103,17,19,12,28,48,79
"692","B6",477,41460,5,53,16,19,7,22,21,54
"693","DL",461,38492,5,188,16,18,11,21,30,25
"694","UA",449,46063,5,129,17,19,9,27,35,93
"695","DL",419,42944,5,30,17,19,9,28,47,68
"696","DL",476,45976,6,99,17,18,11,24,27,72
"697","B6",445,42760,5,43,17,19,4,29,47,50
"699","EV",467,46337,6,86,17,20,11,25,49,96
"700","9E",462,46150,6,96,18,19,9,22,38,119
"701","US",454,42635,5,102,17,19,7,30,41,47
"703","DL",423,40786,5,96,16,18,20,30,24,30
"705","DL",447,49665,5,106,18,19,10,23,38,107
"706","UA",444,43874,5,69,17,19,14,28,35,96
"707","AA",432,42110,5,61,16,18,8,27,40,70
"708","EV",466,46371,5,43,18,19,11,32,47,108
"709","DL",432,44691,5,119,17,18,8,23,33,65
"710","EV",464,40376,6,93,17,17,9,22,27,31
"711","B6",443,37962,5,102,16,18,10,26,31,23
"712","EV",435,32815,5,115,15,16,10,23,42,2
"713","DL",460,43496,5,142,17,19,10,21,22,59
"715","9E",437,39236,5,55,16,19,7,25,59,24
"716","UA",445,42585,5,131,17,19,12,27,40,79
"717","DL",415,40405,5,38,16,19,10,21,36,40
"718","MQ",438,35493,5,207,16,17,8,18,33,13
"719","EV",434,42541,5,59,17,19,7,26,36,55
"720","AA",466,45528,5,48,17,20,12,22,42,116
"721","EV",469,45225,6,110,16,18,23,26,35,69
"723","UA",426,37577,5,110,16,17,12,36,32,14
"724","B6",457,36845,5,184,15,17,7,25,34,11
"725","MQ",436,44966,5,100,17,19,4,28,42,79
"726","9E",420,43964,6,102,17,18,15,20,37,43
"727","EV",468,46257,5,22,18,20,10,23,34,120
"728","B6",435,44758,5,60,17,18,13,24,40,56
"729","VX",416,39417,5,118,16,18,8,26,42,30
"730","UA",453,35433,5,74,16,18,10,28,51,14
"731","9E",429,42992,6,140,16,18,11,24,41,47
"732","9E",475,48458,6,104,17,19,5,21,45,113
"733","B6",460,43923,6,75,18,20,8,26,32,99
"734","UA",445,45983,5,112,16,19,13,26,51,69
"735","DL",398,42387,5,115,16,17,9,25,41,31
"737","EV",418,40699,6,179,17,18,9,27,37,35
"738","9E",448,43929,6,95,17,19,12,25,43,100
"739","AA",438,40833,5,80,16,20,9,20,37,47
"741","EV",447,40998,5,106,17,19,7,28,31,56
"742","UA",459,43346,6,168,17,19,10,22,25,59
"743","MQ",445,42259,5,75,17,18,17,24,34,80
"744","MQ",470,39204,5,141,16,18,8,26,27,25
"746","UA",469,48611,6,31,18,20,12,32,38,123
"748","9E",459,43167,6,43,17,19,8,23,41,73
"749","MQ",453,46627,6,91,17,19,7,28,40,90
"750","9E",457,46217,6,66,17,18,11,31,36,63
"752","UA",449,41494,5,70,17,18,11,28,45,68
"753","FL",441,43609,6,169,17,19,15,26,34,46
"754","B6",440,41938,5,112,17,19,9,26,36,55
"755","9E",444,43018,5,89,18,20,16,33,36,91
"757","DL",427,46519,6,67,17,20,5,27,43,86
"758","UA",437,42368,5,115,17,19,14,19,31,42
"759","EV",426,41600,5,14,16,17,8,26,35,33
"760","B6",455,44349,5,51,17,19,14,21,40,61
"761","WN",457,42791,6,8,17,19,9,23,43,66
"762","EV",461,43905,5,85,17,19,9,27,37,88
"763","AA",448,42139,6,101,17,19,12,23,40,77
"765","B6",443,39558,5,121,16,18,4,32,50,29
"766","UA",461,47345,5,79,17,19,11,23,36,115
"767","UA",457,41491,5,78,16,17,8,23,35,36
"768","UA",436,44243,6,50,17,19,13,23,38,91
"769","EV",431,43198,5,8,17,18,10,23,38,57
"770","B6",455,41592,5,100,18,18,16,22,38,80
"771","9E",439,42651,6,73,17,19,7,25,30,97
"772","UA",450,43797,5,2,17,18,12,29,53,76
"773","MQ",439,45588,6,27,17,19,10,28,34,83
"774","B6",404,42117,5,87,17,18,13,22,39,43
"775","B6",442,45410,5,143,17,19,16,25,37,55
"776","MQ",443,42582,5,148,17,19,7,22,34,58
"777","UA",456,41776,6,86,17,19,2,25,32,67
"782","MQ",426,42079,5,150,17,18,12,28,58,52
"783","EV",428,45112,6,99,17,19,11,25,38,84
"784","WN",444,42426,6,42,17,20,8,24,30,96
"785","UA",426,46338,6,125,18,19,4,24,44,94
"786","MQ",431,39265,5,137,17,19,15,18,28,46
"787","B6",405,40900,5,104,16,17,7,27,38,38
"788","UA",417,41130,5,49,17,19,14,24,29,48
"789","DL",424,38991,5,165,16,17,3,30,31,15
"791","UA",468,47988,5,99,17,20,12,31,33,99
"792","B6",440,44144,5,29,17,18,9,27,40,69
"794","EV",448,43973,5,51,17,19,12,25,38,83
"795","9E",440,44943,6,98,17,19,7,27,29,93
"796","EV",444,44621,6,47,17,19,15,23,37,85
"797","EV",419,43449,5,84,17,19,6,27,28,37
"798","B6",434,41087,6,149,16,18,11,24,43,35
"799","B6",423,40822,5,154,17,19,4,25,38,35
"800","MQ",427,40787,5,78,17,18,16,24,33,45
"801","AA",461,41956,5,191,16,18,7,24,45,42
"802","MQ",447,49040,5,11,18,20,16,25,32,139
"804","UA",428,41969,5,77,16,18,17,27,40,55
"805","B6",451,45883,6,64,17,19,11,20,40,95
"806","B6",445,44707,6,51,17,19,9,25,47,78
"807","B6",458,44798,5,68,17,18,10,24,37,101
"809","AA",448,44294,5,75,18,20,8,27,33,118
"810","B6",423,48532,6,113,17,19,6,20,44,101
"811","B6",419,41635,5,67,16,19,6,26,36,50
"812","B6",459,44116,6,40,17,18,15,26,38,69
"813","B6",460,44716,5,69,18,18,7,28,40,92
"815","EV",454,42810,5,104,17,20,8,27,42,66
"816","EV",436,45395,6,104,17,20,12,18,34,80
"817","B6",469,44875,5,64,17,19,12,27,48,94
"818","B6",412,44440,6,86,17,19,2,27,19,69
"820","EV",429,40767,5,143,16,18,10,21,27,39
"821","B6",447,37315,5,151,16,17,10,34,35,29
"822","B6",413,43186,5,120,16,19,9,15,25,46
"823","B6",444,42676,5,72,16,19,11,24,47,56
"825","EV",431,42710,5,120,16,18,10,22,26,36
"826","B6",433,39369,5,100,16,17,14,18,35,26
"827","EV",466,45874,5,38,17,20,7,24,33,94
"828","B6",457,42836,6,13,17,19,9,21,44,84
"830","B6",478,47427,6,20,18,20,7,27,37,125
"831","B6",414,35324,5,107,15,18,8,30,37,7
"832","B6",410,41351,5,179,17,19,13,31,47,47
"834","UA",435,40311,5,124,17,18,12,24,37,50
"836","UA",417,45143,6,122,17,18,13,26,37,70
"838","B6",385,42211,5,107,17,17,12,24,40,52
"840","B6",455,46030,5,54,17,19,8,24,26,87
"842","B6",458,43947,6,60,17,19,8,22,34,76
"844","EV",465,47930,6,79,18,20,12,21,47,135
"846","DL",455,44625,5,53,18,19,4,29,35,99
"847","FL",465,44089,5,88,17,19,11,32,45,87
"848","UA",474,48177,6,58,18,19,7,28,42,117
"849","UA",470,48907,5,103,18,20,13,21,52,114
"850","UA",437,40336,5,113,16,19,6,29,31,27
"851","EV",430,45852,5,37,17,19,11,23,23,99
"852","EV",433,39875,5,160,16,19,9,23,23,30
"854","B6",450,39579,5,57,17,18,9,28,45,75
"855","WN",431,38419,6,123,17,18,6,28,39,55
"856","MQ",449,44867,5,41,18,20,15,24,41,108
"858","US",428,43135,6,59,18,19,10,23,40,79
"859","AA",453,45188,5,35,18,19,8,26,41,102
"861","UA",448,45957,5,27,18,18,5,25,48,93
"862","DL",456,44054,6,53,17,19,5,27,35,70
"863","DL",433,45139,5,35,18,19,10,27,45,80
"865","B6",458,42546,5,126,17,19,18,27,34,62
"866","EV",425,36953,5,165,16,17,19,27,29,18
"867","DL",460,39797,5,46,17,19,8,30,40,79
"868","WN",418,42542,5,89,17,18,10,23,43,37
"869","B6",448,42721,5,138,17,18,8,17,35,42
"870","B6",470,46280,6,14,18,19,10,25,31,107
"871","UA",427,39975,5,66,17,20,5,27,45,58
"872","US",423,44189,6,145,17,19,11,24,36,87
"873","AA",428,45458,6,51,17,20,8,27,35,84
"875","MQ",439,44526,6,158,17,19,8,26,30,53
"876","MQ",445,40146,5,110,16,19,8,29,36,44
"877","UA",455,38377,5,131,17,19,17,26,30,44
"880","DL",443,42772,5,126,17,18,10,26,47,67
"881","WN",412,38880,5,201,16,17,12,24,40,33
"882","EV",467,45681,5,35,17,20,12,22,33,106
"883","EV",435,43082,5,92,17,19,6,23,36,66
"885","B6",438,41721,5,1,16,19,9,29,31,58
"886","DL",453,42611,5,38,17,20,13,26,45,61
"887","WN",439,41162,6,106,17,19,6,24,33,64
"888","EV",430,45766,5,105,17,18,8,22,33,66
"889","UA",436,41032,5,150,16,18,9,27,33,42
"890","AA",424,39237,5,156,16,18,6,31,43,17
"892","UA",438,41998,5,91,16,18,18,23,37,29
"895","UA",446,43498,5,11,17,19,12,22,49,79
"896","B6",446,43839,5,123,17,19,14,24,44,64
"897","UA",433,40466,5,120,16,18,6,30,40,44
"898","EV",456,49036,5,130,18,20,13,24,39,153
"899","AA",458,43139,6,72,17,20,3,24,43,88
"900","B6",450,44374,5,151,17,19,9,22,31,52
"901","B6",440,44004,5,57,18,19,8,30,42,82
"902","US",460,45574,6,32,18,19,7,27,39,84
"903","UA",443,47475,6,72,18,19,11,26,33,106
"905","US",442,47342,6,2,18,20,13,28,27,134
"912","DL",453,42065,5,21,17,19,11,22,40,81
"913","DL",420,36418,5,113,15,18,10,26,30,14
"914","DL",457,43421,6,50,17,19,9,31,51,83
"915","B6",443,44593,5,71,18,19,9,24,42,82
"916","MQ",433,44246,6,73,17,19,14,25,28,64
"917","US",426,42063,5,103,18,19,10,27,47,86
"919","EV",454,43237,6,37,16,18,15,29,34,42
"920","AA",431,44810,5,108,17,20,10,22,31,103
"922","DL",475,42049,5,133,16,17,10,19,32,21
"923","UA",455,48236,6,94,18,19,9,17,19,133
"924","B6",403,42266,6,90,17,19,21,29,46,48
"925","DL",457,44450,5,109,17,20,10,27,42,92
"926","UA",445,42781,6,133,17,19,10,19,40,73
"928","MQ",447,44587,5,86,17,18,13,31,44,49
"929","AA",452,45667,5,115,18,19,14,30,39,93
"930","B6",428,41735,5,144,17,18,9,24,31,52
"931","DL",435,47716,5,104,18,19,14,23,35,93
"937","MQ",442,44199,5,84,17,19,9,28,45,68
"938","AS",428,45084,6,22,17,19,6,28,43,90
"939","UA",430,42120,5,107,16,18,5,27,36,45
"940","VX",426,42101,5,140,17,20,15,28,36,59
"941","UA",436,36513,5,155,16,18,9,33,35,22
"942","UA",405,41280,5,163,17,19,8,21,41,72
"943","FL",437,42659,5,176,16,20,8,26,34,46
"944","B6",462,43331,5,79,17,18,6,15,30,64
"945","DL",427,39389,5,86,16,18,10,20,24,21
"946","B6",404,42527,5,109,16,18,8,23,52,56
"947","AA",439,37952,5,107,15,18,14,20,36,10
"948","B6",449,43176,5,54,17,18,9,19,27,58
"949","UA",449,39618,5,104,16,18,13,23,31,28
"950","B6",457,40107,5,163,16,18,8,29,44,39
"951","B6",439,42527,5,22,17,20,15,17,39,66
"952","WN",443,42898,5,151,18,19,12,26,32,73
"953","UA",427,42001,5,119,17,18,11,25,32,37
"957","UA",447,45716,5,35,18,18,10,25,37,113
"958","WN",428,40626,5,52,16,17,7,25,30,24
"959","EV",475,42800,5,31,17,19,12,21,35,67
"960","UA",458,46213,6,82,18,20,9,21,37,124
"962","DL",450,45469,6,81,17,19,11,28,45,77
"963","AA",457,45437,6,21,18,20,8,21,37,123
"964","UA",482,45879,6,74,18,20,10,26,32,92
"965","B6",436,42525,6,48,17,19,10,24,26,57
"966","UA",421,45027,5,75,17,18,14,26,42,77
"967","9E",437,39273,5,40,16,18,12,25,36,31
"968","EV",464,44674,5,35,17,19,11,22,39,70
"970","UA",442,39959,5,181,17,17,17,24,43,35
"971","EV",436,41436,5,42,17,18,12,26,35,57
"972","DL",452,41871,5,120,17,19,13,24,37,57
"973","B6",436,39116,5,66,16,17,11,28,35,49
"975","DL",449,44250,6,26,17,19,10,22,51,100
"976","DL",464,47074,5,42,17,18,11,24,33,70
"977","US",469,46830,5,177,17,19,12,24,27,106
"979","B6",451,44527,5,16,18,19,9,19,37,81
"980","DL",441,43434,5,76,17,19,11,24,37,73
"981","AA",455,41455,5,138,17,18,12,32,30,58
"982","MQ",424,44686,6,106,18,18,7,27,47,85
"983","UA",443,42796,5,186,17,19,2,25,43,68
"984","AA",401,41110,5,24,17,19,6,24,29,49
"985","DL",444,42970,5,88,17,18,9,29,29,52
"986","DL",457,47021,5,66,17,20,6,22,40,104
"987","US",452,41395,5,102,16,18,11,26,36,25
"989","UA",468,44248,6,85,18,19,11,21,40,79
"990","UA",447,41151,5,101,17,19,10,25,45,74
"991","AA",423,43766,6,58,17,18,11,21,40,51
"992","B6",426,45598,6,94,18,18,14,28,30,112
"993","DL",433,47449,5,65,17,19,14,28,40,63
"994","UA",453,43018,5,80,18,19,5,28,38,86
"995","B6",442,46245,5,76,18,20,8,23,33,110
"996","EV",424,44985,5,126,17,18,7,29,19,64
"997","B6",470,44594,5,52,17,19,2,25,34,77
"998","AA",430,43215,5,97,17,20,8,25,35,56
"1000","B6",464,44984,5,16,17,20,13,23,40,99
"1001","UA",405,41703,5,99,17,18,8,24,42,48
"1002","UA",446,45406,5,45,17,19,19,31,34,80
"1003","AA",445,46690,6,46,17,19,9,20,33,94
"1004","B6",495,43675,6,117,18,19,10,22,31,109
"1005","UA",447,41313,5,55,17,18,10,20,37,47
"1007","MQ",459,43319,5,79,17,20,9,22,31,85
"1008","B6",455,46457,6,120,18,19,6,29,32,107
"1010","MQ",456,43519,6,72,17,20,7,22,33,93
"1011","AA",437,45305,5,96,17,18,6,19,23,69
"1012","DL",442,41642,5,83,17,18,5,28,37,40
"1013","UA",420,41236,5,110,17,18,13,24,43,49
"1014","MQ",446,45538,6,57,18,20,11,29,36,119
"1015","UA",453,40525,5,41,17,18,4,23,35,31
"1016","B6",448,40897,6,97,17,18,8,32,33,49
"1018","DL",431,46493,6,44,17,19,8,20,32,86
"1019","US",432,41191,5,160,16,17,13,29,27,54
"1020","AA",438,43929,6,55,17,19,13,20,34,58
"1021","UA",465,44409,6,71,17,18,14,21,40,74
"1022","EV",435,38991,5,60,16,18,12,26,31,19
"1023","MQ",457,44341,5,72,17,18,15,23,42,89
"1024","US",415,42770,5,40,17,19,5,25,36,50
"1025","AA",448,43305,6,104,17,19,19,28,36,63
"1026","UA",459,42939,5,70,17,19,8,28,27,63
"1027","AA",464,45335,5,43,17,20,10,21,26,104
"1028","WN",441,44095,6,78,17,19,14,29,47,87
"1030","EV",424,42497,5,165,17,18,18,23,38,56
"1032","B6",461,45426,5,64,17,20,9,25,32,91
"1033","B6",461,46219,6,13,18,19,7,22,41,100
"1034","UA",427,40257,5,113,17,19,13,22,44,53
"1035","US",442,39853,5,129,16,18,13,23,41,43
"1036","UA",435,45183,5,58,17,19,15,28,53,107
"1037","B6",435,45779,5,96,17,19,13,32,36,100
"1038","UA",446,45655,6,79,17,20,21,24,47,82
"1041","B6",430,42014,5,52,18,18,11,32,36,81
"1042","DL",422,42261,5,89,16,18,12,27,36,56
"1043","DL",446,43839,5,40,17,19,12,26,28,90
"1044","DL",443,46708,6,79,18,19,13,21,40,96
"1045","DL",446,47598,6,60,18,18,9,29,48,90
"1047","AA",475,51436,6,81,19,22,12,19,34,180
"1048","MQ",432,42733,5,142,17,18,13,32,40,63
"1049","UA",451,45320,6,57,18,20,11,26,38,128
"1050","DL",451,46310,5,71,18,19,2,19,39,87
"1051","DL",458,44950,5,110,18,20,12,21,49,86
"1052","VX",437,37199,5,143,16,18,16,28,43,18
"1053","AA",452,41997,6,99,16,18,8,30,32,43
"1055","DL",422,38348,5,142,16,18,3,26,33,26
"1056","UA",463,41522,5,67,17,19,10,23,26,76
"1057","UA",455,45062,6,124,17,19,9,28,38,72
"1059","UA",432,40965,5,101,17,18,11,30,44,55
"1061","AA",467,44701,6,53,18,20,14,27,42,121
"1063","FL",448,45859,5,42,17,19,7,31,23,78
"1064","B6",440,47178,5,64,17,18,5,24,42,55
"1065","UA",432,43417,5,76,17,17,7,24,37,63
"1066","AA",486,43247,5,64,18,21,17,24,44,107
"1067","AS",427,40331,5,51,17,18,15,26,32,52
"1068","AA",468,44887,6,46,17,20,17,23,45,99
"1070","UA",429,37961,5,107,17,18,13,24,14,40
"1071","VX",442,42081,5,142,16,19,8,28,30,70
"1072","B6",426,36772,5,124,16,18,10,23,45,13
"1073","B6",459,44518,5,123,18,19,6,25,40,100
"1076","B6",447,41388,5,77,17,18,6,31,49,71
"1077","AA",471,47546,5,59,17,19,10,26,32,85
"1078","UA",470,40539,5,115,16,18,10,26,44,27
"1079","B6",442,40158,5,219,17,19,6,32,44,37
"1080","AA",459,44425,6,79,18,19,13,31,38,71
"1081","B6",411,43649,5,87,18,19,10,19,26,64
"1082","DL",450,42826,5,58,17,19,8,28,31,54
"1083","AA",419,38672,5,137,16,18,5,31,41,18
"1087","UA",428,45059,6,115,18,19,7,26,34,96
"1088","US",439,44197,6,150,17,19,10,23,29,60
"1089","AA",409,40945,6,111,16,18,6,23,34,42
"1091","WN",431,41865,6,58,16,18,13,26,45,44
"1092","B6",439,41007,6,17,17,19,1,18,32,59
"1093","DL",444,45946,6,16,18,20,7,18,36,104
"1094","DL",455,44548,5,157,17,19,4,26,36,82
"1095","MQ",442,42389,6,82,17,19,16,28,54,51
"1097","AA",449,43963,5,49,17,19,7,29,35,75
"1098","UA",459,43253,5,107,17,20,13,26,35,57
"1100","B6",377,43243,6,125,16,19,4,23,52,53
"1101","B6",458,47530,5,37,17,19,9,24,34,76
"1102","MQ",441,41752,5,146,17,18,12,26,51,46
"1103","DL",460,40177,6,92,16,18,13,29,41,25
"1104","EV",444,40764,5,1,17,18,7,32,33,51
"1105","9E",444,41645,5,12,17,18,12,26,43,55
"1106","DL",459,41746,5,76,17,19,11,26,45,53
"1107","EV",435,42918,6,130,17,18,13,24,45,64
"1108","MQ",439,41681,5,97,16,18,9,20,43,35
"1109","US",409,44663,5,96,17,19,10,33,32,69
"1110","EV",413,42325,6,31,17,19,14,22,38,62
"1112","FL",453,42995,5,99,17,19,3,24,40,78
"1113","B6",454,45925,6,15,18,20,11,23,40,120
"1114","B6",431,44523,5,65,17,19,7,21,22,62
"1115","DL",453,43550,5,117,17,19,15,19,39,97
"1116","DL",446,43485,6,108,18,19,8,25,32,81
"1117","B6",449,41768,5,110,16,19,9,20,36,42
"1118","MQ",422,38908,5,172,16,17,14,30,37,21
"1120","US",417,43705,5,49,16,19,14,22,40,53
"1121","UA",447,42195,5,140,17,18,17,28,37,47
"1122","AA",446,44775,5,79,17,19,14,29,40,62
"1124","AA",444,44679,5,102,17,19,9,27,38,91
"1125","UA",455,48837,6,115,18,21,4,24,40,134
"1127","UA",430,44407,5,72,18,20,10,29,32,86
"1128","UA",437,44697,5,26,17,19,12,31,27,93
"1129","UA",480,47520,6,71,18,21,4,25,29,141
"1130","AA",440,37753,5,73,16,19,8,24,34,34
"1134","F9",426,39462,6,38,16,18,9,30,40,32
"1135","AA",438,45184,5,139,17,18,11,22,37,91
"1136","MQ",455,45057,5,108,16,19,10,28,36,73
"1137","AA",439,46291,6,88,18,20,11,22,36,113
"1138","DL",445,45279,6,52,18,20,12,23,23,128
"1140","MQ",450,38503,6,55,16,17,14,23,43,29
"1141","UA",442,39335,5,132,17,18,9,24,41,34
"1142","EV",420,36294,5,84,15,18,8,23,42,14
"1143","DL",424,33122,5,209,15,17,10,23,34,4
"1145","WN",432,41047,6,82,17,19,12,26,33,59
"1146","B6",481,47378,5,72,18,20,16,23,36,134
"1147","DL",450,46590,6,91,18,19,13,29,52,103
"1149","DL",424,43248,6,45,17,18,6,23,29,85
"1150","UA",472,44891,5,97,17,19,8,27,37,72
"1151","HA",446,47341,6,99,18,20,4,22,22,122
"1152","DL",431,42771,6,5,17,19,8,26,25,61
"1156","DL",406,42768,5,5,17,18,8,22,35,81
"1157","VX",453,41114,5,136,16,18,2,28,55,26
"1158","UA",426,44795,5,77,17,19,10,27,38,41
"1160","MQ",439,42881,5,75,17,19,4,27,33,51
"1162","B6",484,43675,6,88,17,18,10,27,39,89
"1163","UA",476,44874,5,42,18,19,12,24,37,101
"1164","B6",453,44950,6,78,17,19,11,23,42,106
"1165","US",432,45178,6,127,18,19,12,27,44,108
"1167","AA",435,42772,5,149,17,19,12,28,43,50
"1168","AA",424,43782,5,130,16,18,12,23,47,30
"1169","UA",434,43472,5,134,17,18,8,24,17,68
"1171","AA",478,47456,5,85,17,19,8,22,32,102
"1172","UA",429,44785,5,81,17,18,10,25,45,75
"1173","AA",422,41897,5,77,17,19,11,26,40,51
"1174","B6",476,44164,6,170,18,20,7,26,39,122
"1175","B6",438,44698,5,31,17,19,11,26,28,87
"1176","B6",458,44680,5,172,17,19,4,21,42,73
"1179","B6",429,40785,5,118,16,18,7,26,28,42
"1180","B6",433,44722,6,65,18,19,10,20,39,91
"1181","B6",445,42546,5,71,17,19,8,20,38,72
"1182","UA",454,44468,6,34,17,20,9,20,36,73
"1183","DL",460,42829,6,55,17,20,16,20,35,93
"1184","EV",444,45955,6,34,18,20,10,25,44,92
"1185","WN",400,44575,6,99,17,19,11,25,36,83
"1186","UA",460,49721,5,24,18,20,11,20,37,126
"1187","B6",449,46658,5,95,17,20,9,20,38,85
"1189","VX",462,43297,5,74,17,18,15,27,25,71
"1190","B6",451,43614,5,62,17,19,10,28,53,76
"1191","B6",412,37020,5,140,15,18,13,31,43,6
"1192","WN",473,46890,6,139,17,19,12,31,37,93
"1193","DL",422,46242,5,62,17,19,14,28,23,101
"1194","DL",444,44085,5,39,17,19,17,22,43,93
"1195","B6",433,43523,5,74,17,18,3,29,39,60
"1197","AA",419,37760,5,34,16,18,9,19,33,34
"1199","B6",469,47659,6,75,17,19,7,29,41,126
"1200","EV",428,40191,5,88,16,18,10,24,34,55
"1201","B6",448,47116,6,73,18,19,13,25,41,114
"1203","MQ",435,43886,6,38,18,19,15,28,39,90
"1204","UA",431,44876,5,25,17,19,15,26,23,78
"1205","US",453,45757,6,125,17,19,10,28,28,64
"1207","UA",445,39166,5,54,17,19,8,31,41,52
"1208","DL",459,43549,5,62,17,18,17,26,37,52
"1209","US",437,47422,6,109,18,20,11,34,54,98
"1213","MQ",450,42773,6,78,18,20,8,22,37,110
"1214","DL",441,40002,5,181,16,18,13,21,32,22
"1216","US",472,44226,5,66,17,19,9,31,26,79
"1217","EV",441,42898,5,135,16,17,5,24,34,35
"1218","DL",439,43410,6,83,17,18,14,31,34,64
"1219","FL",448,35697,5,88,16,17,10,28,37,18
"1221","MQ",428,43026,5,3,17,19,13,21,44,56
"1222","AA",406,42176,6,150,16,19,16,26,34,48
"1223","UA",475,46702,5,57,18,20,8,21,29,123
"1224","AA",421,39660,5,52,17,19,9,31,51,46
"1225","UA",463,43232,6,83,17,19,9,17,40,49
"1226","AA",451,43946,5,11,17,19,11,23,35,78
"1227","EV",462,42173,5,112,16,19,6,26,35,28
"1228","VX",434,44512,6,65,17,18,9,20,38,77
"1229","UA",445,46524,5,62,18,20,12,24,46,128
"1230","EV",437,43811,6,97,17,19,8,29,32,92
"1231","UA",435,43497,6,79,17,19,7,27,37,70
"1232","AA",431,42719,6,51,17,18,5,29,39,62
"1233","UA",459,44282,5,28,18,18,10,20,36,98
"1234","B6",403,37901,5,68,16,18,11,29,40,15
"1235","EV",458,42945,5,165,17,18,17,21,40,62
"1236","UA",436,41502,5,52,17,19,7,27,38,43
"1237","UA",414,44147,5,54,17,18,8,20,39,59
"1238","AA",429,44738,5,58,17,18,12,23,24,71
"1239","DL",461,43161,6,125,17,18,9,26,33,84
"1240","MQ",407,39454,5,128,16,18,8,29,28,12
"1241","B6",446,47516,6,57,17,19,11,25,37,95
"1243","EV",428,44218,6,136,17,19,-4,28,40,82
"1244","DL",424,46370,5,90,17,19,7,30,31,82
"1245","US",432,48231,5,11,17,19,8,20,39,102
"1246","WN",453,37881,5,84,16,18,9,27,26,39
"1247","MQ",463,45544,6,147,17,19,9,25,41,98
"1248","UA",451,43984,6,142,18,18,8,17,35,79
"1249","B6",464,46350,5,75,18,19,10,31,31,83
"1250","DL",450,43333,6,65,17,19,11,24,37,66
"1251","UA",423,38760,5,64,17,18,8,27,37,50
"1252","MQ",438,46976,6,73,17,20,11,27,31,91
"1253","AA",434,40391,5,98,17,18,9,24,28,45
"1254","B6",451,46621,5,82,17,20,5,26,36,87
"1255","UA",443,44691,5,96,17,19,11,27,40,60
"1257","UA",464,46540,5,108,17,19,8,28,38,78
"1259","WN",424,42016,6,87,17,19,8,24,32,85
"1260","UA",457,41739,6,59,17,18,13,22,35,70
"1262","DL",437,40375,5,11,16,19,11,24,50,51
"1264","EV",444,43533,6,41,17,18,18,18,30,104
"1266","UA",444,48023,5,13,18,19,3,26,46,108
"1267","UA",449,45798,5,52,17,19,8,28,25,91
"1268","AA",449,40768,5,89,16,18,14,21,20,36
"1269","DL",443,47561,5,78,18,19,18,26,40,121
"1270","MQ",464,44709,6,21,18,19,11,21,45,89
"1272","VX",466,48608,6,70,18,19,14,25,49,123
"1273","AA",437,44627,5,85,17,19,10,23,45,90
"1274","DL",444,41346,5,78,17,19,9,20,38,73
"1275","UA",458,48752,5,78,18,20,10,28,30,129
"1276","EV",448,38541,5,144,16,18,13,26,31,41
"1277","FL",441,45490,6,38,17,18,13,33,35,92
"1278","EV",417,44186,5,136,17,18,14,24,62,60
"1280","B6",460,44325,6,28,17,18,9,27,48,83
"1281","DL",436,46446,6,64,17,20,19,29,41,97
"1282","B6",453,46761,5,53,18,19,12,28,44,109
"1283","MQ",451,36069,5,157,16,18,11,24,30,10
"1285","DL",434,42950,6,28,17,19,10,24,22,80
"1286","DL",457,47981,6,82,18,21,9,26,47,131
"1287","MQ",438,44463,5,100,17,19,10,24,34,93
"1288","EV",400,36989,5,59,16,19,11,25,35,12
